trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
362,False,"{'a': 0.6, 'e': 0.485779724303885}",20,0,-34.3429928906912,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
363,False,"{'a': 0.6, 'e': 0.48480913576734325}",20,0,-100.69575429545354,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
364,False,"{'a': 0.6, 'e': 0.483840486467991}",30,0,-142.78887112344916,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
365,False,"{'a': 0.6, 'e': 0.48287377253122976}",30,0,-52.658055666886604,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
366,False,"{'a': 0.6, 'e': 0.48190899009020244}",20,0,-25.16871222293112,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
367,False,"{'a': 0.6, 'e': 0.480946135285778}",20,12,-18.298525828851517,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
368,False,"{'a': 0.6, 'e': 0.479985204266536}",30,0,-63.13648408626074,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
369,False,"{'a': 0.6, 'e': 0.4790261931887511}",30,0,-73.3524447801877,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
370,False,"{'a': 0.6, 'e': 0.4780690982163776}",20,0,-19.375795597468578,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
371,False,"{'a': 0.6, 'e': 0.4771139155210344}",20,6,-41.076062215573096,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
372,False,"{'a': 0.6, 'e': 0.4761606412819894}",30,16,18.692562776686405,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.6, 'e': 0.47520927168614446}",30,17,-18.67841845969511,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
374,False,"{'a': 0.6, 'e': 0.4742598029280199}",25,0,11.75943013858512,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
375,False,"{'a': 0.6, 'e': 0.4733122312097393}",35,18,9.39763088643354,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.6, 'e': 0.4723665527410147}",25,10,-10.671026428563392,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
377,False,"{'a': 0.6, 'e': 0.4714227637391309}",20,4,-10.01278243715938,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
378,False,"{'a': 0.6, 'e': 0.47048086042893056}",20,14,-47.97622264746354,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
379,False,"{'a': 0.6, 'e': 0.46954083904279925}",30,0,-27.93262055148351,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",1
380,False,"{'a': 0.6, 'e': 0.46860269582065023}",20,3,-39.72716369452695,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 0}",1
381,False,"{'a': 0.6, 'e': 0.46766642700990924}",25,11,-2.2590618497460704,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.6, 'e': 0.46673202886549986}",25,0,-61.700494938710094,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
383,False,"{'a': 0.6, 'e': 0.46579949764982825}",30,8,-65.66099135676502,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
384,False,"{'a': 0.6, 'e': 0.46486882963276827}",20,0,-55.907935148401876,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
385,False,"{'a': 0.6, 'e': 0.4639400210916467}",30,17,1.4689174696625313,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
386,False,"{'a': 0.6, 'e': 0.46301306831122807}",20,0,-34.33152109964495,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
387,False,"{'a': 0.6, 'e': 0.4620879675837}",20,10,-10.950080893063642,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
388,False,"{'a': 0.6, 'e': 0.4611647152086584}",25,8,-18.58346293243876,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
389,False,"{'a': 0.6, 'e': 0.46024330749309256}",25,14,-47.1667585010728,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
390,False,"{'a': 0.6, 'e': 0.45932374075137034}",20,0,-6.264316886921179,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
391,False,"{'a': 0.6, 'e': 0.4584060113052235}",20,9,-0.7691922514870444,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
392,False,"{'a': 0.6, 'e': 0.45749011548373314}",20,5,-69.62557298672267,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
393,False,"{'a': 0.6, 'e': 0.4565760496233147}",30,7,-77.89514754144197,"{0: 18, 1: 0, 2: 1, 3: 3, 4: 1}",1
394,False,"{'a': 0.6, 'e': 0.4556638100677035}",30,0,-126.50514908396346,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
395,False,"{'a': 0.6, 'e': 0.45475339316794017}",20,8,-28.943425611866353,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
396,False,"{'a': 0.6, 'e': 0.45384479528235583}",20,13,-20.995114859872206,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
397,False,"{'a': 0.6, 'e': 0.4529380127765577}",20,0,-36.577775458129146,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
398,False,"{'a': 0.6, 'e': 0.45203304202341466}",20,0,-108.14936483312968,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
399,False,"{'a': 0.6, 'e': 0.45112987940304233}",25,7,-2.010515945485643,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
400,False,"{'a': 0.6, 'e': 0.45022852130278923}",25,0,-58.82739828174038,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
401,False,"{'a': 0.6, 'e': 0.44932896411722156}",20,14,13.08677414331655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.6, 'e': 0.4484312042481095}",30,21,7.225627249328462,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.6, 'e': 0.44753523810441237}",25,0,-82.4944719524646,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
404,False,"{'a': 0.6, 'e': 0.44664106210226434}",20,1,-15.115688587202126,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
405,False,"{'a': 0.6, 'e': 0.4457486726649602}",20,8,13.60263814942087,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.6, 'e': 0.4448580662229411}",20,13,-10.267251925620943,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
407,False,"{'a': 0.6, 'e': 0.44396923921378006}",25,3,-94.07636954105962,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
408,False,"{'a': 0.6, 'e': 0.44308218808216776}",20,12,-0.8117617486309852,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
409,False,"{'a': 0.6, 'e': 0.44219690927989863}",30,16,-0.35604941868391604,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
410,False,"{'a': 0.6, 'e': 0.44131339926585617}",20,0,-0.4353464741552546,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
411,False,"{'a': 0.6, 'e': 0.44043165450599925}",25,18,11.456256578411903,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.6, 'e': 0.43955167147334756}",25,12,23.411335789347774,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.6, 'e': 0.4386734466479678}",25,17,14.924102016382506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.6, 'e': 0.4377969765169596}",20,16,8.271497976810362,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
